Date,Close,High,Low,Open,Volume,Date_final
2021-02-05,133.20364379882812,133.84648451427685,132.32705363193958,133.77831254493844,75693800,2021-02-05
2021-02-08,133.34976196289062,133.39846472288602,131.411505066242,132.49264094535826,71297200,2021-02-08
2021-02-09,132.47315979003906,134.29454199245745,132.3173317614118,133.0672978062939,76774200,2021-02-09
2021-02-10,131.8692626953125,133.42766158836056,130.90500170826476,132.93091432442992,73046600,2021-02-10
2021-02-11,131.6160430908203,132.84327231685143,130.29140835043972,132.3660090757308,64280000,2021-02-11
2021-02-12,131.8498077392578,132.00565063537698,130.21350191599643,130.8563427159905,60145100,2021-02-12
2021-02-16,129.7264862060547,132.4731462786685,129.33687901923372,131.96667922879305,80576300,2021-02-16
2021-02-17,127.43757629394531,128.78169493091983,126.10320712430666,127.83691804290048,97918500,2021-02-17
2021-02-18,126.33698272705078,126.61943492722637,124.09678975209331,125.84023543219843,96856700,2021-02-18
2021-02-19,126.49279022216797,127.31095773335569,125.45062277040475,126.85317866159306,87668800,2021-02-19
2021-02-22,122.72345733642578,126.34672250388937,122.3338575729678,124.68118332933157,103916400,2021-02-22
2021-02-23,122.58708953857422,123.41498433079913,115.31134105569778,120.54170021925478,158273000,2021-02-23
2021-02-24,122.09033966064453,122.29487783267318,119.05147832650884,121.69100535268275,111039900,2021-02-24
2021-02-25,117.8437271118164,123.17148430278391,117.40543205845579,121.43777330096201,148199500,2021-02-25
2021-02-26,118.10670471191406,121.6033452358005,118.04825992472897,119.40211317040608,164560400,2021-02-26
2021-03-01,124.46690368652344,124.60326248159897,119.59692548811965,120.53196041049354,116307900,2021-03-01
2021-03-02,121.86632537841797,125.37270785746594,121.75918527388905,125.07077161615514,102260900,2021-03-02
2021-03-03,118.88589477539062,122.44098002866822,118.6716145648539,121.56438254510716,112966300,2021-03-03
2021-03-04,117.006103515625,120.38586986301316,115.53537532437929,118.58397926186606,178155000,2021-03-04
2021-03-05,118.26253509521484,118.7690169305712,114.5126538027712,117.83398211644732,153766600,2021-03-05
2021-03-08,113.33412170410156,117.85346041822143,113.18802088680535,117.78528102761602,154376600,2021-03-08
2021-03-09,117.94112396240234,118.88590088596752,115.70093853482196,115.93469539878758,129525800,2021-03-09
2021-03-10,116.85999298095703,118.99303824849771,116.34376908141869,118.52552453136408,111943300,2021-03-10
2021-03-11,118.78849792480469,120.00599237807343,118.10670400337277,119.35341713456053,103026500,2021-03-11
2021-03-12,117.8826904296875,118.01904922400895,116.0613233493951,117.26907585524096,88105100,2021-03-12
2021-03-15,120.76570892333984,120.77545095974142,117.28854502762586,118.25280599447676,92403800,2021-03-15
2021-03-16,122.30463409423828,123.9117284110974,121.47673927373422,122.4312508542222,115227900,2021-03-16
2021-03-17,121.51570892333984,122.58710273633017,119.15863361756394,120.82417284921884,111932600,2021-03-17
2021-03-18,117.39568328857422,119.97677300065472,117.19114511333716,119.68457136117527,121229700,2021-03-18
2021-03-19,116.86972045898438,118.27227638684158,116.56778422545804,116.78206442899135,185549500,2021-03-19
2021-03-22,120.1812973022461,120.64881838524362,117.13269423612276,117.20087361999786,111912300,2021-03-22
2021-03-23,119.35340881347656,121.00919818208511,118.9638091293934,120.12286614601692,95467100,2021-03-23
2021-03-24,116.96711730957031,119.70404974763237,116.94764066899515,119.62612832333967,88530500,2021-03-24
2021-03-25,117.45413208007812,118.49631456122934,115.90548256064227,116.43144110431777,98844700,2021-03-25
2021-03-26,118.05799865722656,118.32098161470867,115.82754797615723,117.22036189731419,94071200,2021-03-26
2021-03-29,118.23331451416016,119.3923715504468,117.59048134086395,118.48655542775977,80819200,2021-03-29
2021-03-30,116.7820816040039,117.26907943602144,115.76912522168777,116.9866198017316,85671900,2021-03-30
2021-03-31,118.97354888916016,120.30791793555011,117.99955341308188,118.48655115112102,118323800,2021-03-31
2021-04-01,119.80145263671875,120.95076768283118,119.30471282559485,120.44429326652572,75089100,2021-04-01
2021-04-05,122.62603759765625,122.87927851383142,119.86962848939254,120.64882787870255,88651200,2021-04-05
2021-04-06,122.92796325683594,123.82403727576349,122.38252818983577,123.21042282538829,80171300,2021-04-06
2021-04-07,124.57403564453125,124.59351228641088,121.88580577435263,122.55786509964642,83466700,2021-04-07
2021-04-08,126.97005462646484,126.99927330265552,125.17790646414029,125.59671739753477,88844600,2021-04-08
2021-04-09,129.54141235351562,129.58036563750287,126.1032091394081,126.42462946477704,106686700,2021-04-09
2021-04-12,127.82720947265625,129.39534324785052,127.23307146188088,129.07392286215278,91420000,2021-04-12
2021-04-13,130.93418884277344,131.15821847574705,128.4992004477625,128.99594759201815,91266500,2021-04-13
2021-04-14,128.59664916992188,131.48941754486856,128.2362755221187,131.43098018165665,87222800,2021-04-14
2021-04-15,131.00238037109375,131.48937806764056,130.16474373855363,130.3400706375454,89347100,2021-04-15
2021-04-16,130.67123413085938,131.16796646381349,129.81411337251544,130.80759290041487,84922400,2021-04-16
2021-04-19,131.33351135253906,131.94713309442693,129.87251852860607,130.03809593187998,94264200,2021-04-19
2021-04-20,129.6485137939453,132.0055806149895,128.3823169431064,131.50884836684003,94812300,2021-04-20
2021-04-21,130.0283966064453,130.27189547649485,127.88560952240783,128.91804235349915,68847100,2021-04-21
2021-04-22,128.5089569091797,130.66147844484067,127.99274053029319,129.58034294411806,84566500,2021-04-22
2021-04-23,130.8270721435547,131.6062565911259,128.72323846633472,128.72323846633472,78657500,2021-04-23
2021-04-26,131.2166748046875,131.54782970744535,130.0868364590517,131.32381490404939,66905100,2021-04-26
2021-04-27,130.89524841308594,131.88872793710226,130.62253087504087,131.49912083847275,66015800,2021-04-27
2021-04-28,130.1063232421875,131.5088791677975,129.61932548257246,130.81733580986761,107760100,2021-04-28
2021-04-29,130.00892639160156,133.50558183329358,129.00571212903608,132.92117853809344,151101000,2021-04-29
2021-04-30,128.04144287109375,130.08682431063778,127.66158525646483,128.3531136734093,109839500,2021-04-30
2021-05-03,129.09335327148438,130.58358001612103,128.40182480933737,128.6063555356659,75135100,2021-05-03
2021-05-04,124.52532196044922,128.07067238199318,123.40522566029897,127.77847076247717,137564700,2021-05-04
2021-05-05,124.76885223388672,127.05773315883954,124.6422280399721,125.84023856195147,84000900,2021-05-05
2021-05-06,126.36620330810547,126.37593791446682,123.82406658932013,124.56430537762937,78128300,2021-05-06
2021-05-07,127.03937530517578,128.0637957522919,126.3271401858517,127.66379062246624,78973300,2021-05-07
2021-05-10,123.76119232177734,126.38568557584613,123.72216543128324,126.25886120807223,88071200,2021-05-10
2021-05-11,122.84410095214844,123.19532812082859,119.78055295740043,120.49278076667929,126142800,2021-05-11
2021-05-12,119.78053283691406,121.60500079746393,119.27319817304675,120.39519702699735,112172300,2021-05-12
2021-05-13,121.92697143554688,123.07823863645709,121.23426088704589,121.54646856304096,105861300,2021-05-13
2021-05-14,124.3465805053711,124.7758688561986,122.78554210729591,123.17580356771927,81918000,2021-05-14
2021-05-17,123.19532775878906,123.83926036065176,122.12211419930365,123.73193826034131,74244600,2021-05-17
2021-05-18,121.80990600585938,123.89779649597985,121.74161080080381,123.47826668103308,63342900,2021-05-18
2021-05-19,121.65380096435547,121.87819629608094,119.86835967667767,120.16105765432343,92612000,2021-05-19
2021-05-20,124.20999145507812,124.61001150333645,122.05380598133526,122.1806452374261,76857100,2021-05-20
2021-05-21,122.37577056884766,124.88319058200729,122.16112639405591,124.70757329750661,79295400,2021-05-21
2021-05-24,124.00509643554688,124.82464619337513,122.87334646207267,122.94164165492356,63092900,2021-05-24
2021-05-25,123.80998229980469,125.19541091008112,123.24410353248182,124.7075784829674,72009500,2021-05-25
2021-05-26,123.76119232177734,124.28804417802037,123.34166255348855,123.86851440973157,56575900,2021-05-26
2021-05-27,122.22943878173828,124.53197352741631,122.03431174645816,123.36119642849698,94625600,2021-05-27
2021-05-28,121.57573699951172,122.736762785055,121.51720038633076,122.51236002849775,71311100,2021-05-28
2021-06-01,121.25377655029297,122.29772171588232,120.92205913488071,122.03429950032661,67637100,2021-06-01
2021-06-02,122.01478576660156,122.19040306312083,121.02938463288338,121.253779962891,59278900,2021-06-02
2021-06-03,120.53180694580078,121.80990611741935,120.13178685609535,121.64404739693522,76229200,2021-06-03
2021-06-04,122.82457733154297,123.08800699874061,120.83425044759345,121.04889463757115,75169300,2021-06-04
2021-06-07,122.8343276977539,123.24409888195902,121.79038257021139,123.09774990370911,71057600,2021-06-07
2021-06-08,123.65386962890625,125.33199613747028,123.13677635872094,123.51727923465421,74403800,2021-06-08
2021-06-09,124.03439331054688,124.63929904628665,123.43924615992437,124.1124471042461,56877900,2021-06-09
2021-06-10,123.03922271728516,125.06857651400928,122.87336400291547,123.9270603510902,71186400,2021-06-10
2021-06-11,124.24903106689453,124.33684344114933,123.02946851727127,123.44899833208643,53522400,2021-06-11
2021-06-14,127.30281066894531,127.36134728829198,123.9758479654745,124.70758548178374,96906500,2021-06-14
2021-06-15,126.48326873779297,127.41989931286103,126.23935623136502,126.77596672295411,62746300,2021-06-15
2021-06-16,126.9808349609375,127.70282128290683,125.33199905171192,127.19547914078684,91815000,2021-06-16
2021-06-17,128.5808868408203,129.32239025268845,126.49299676283543,126.63935317228925,96721700,2021-06-17
2021-06-18,127.2833023071289,128.30772287123602,127.06865812161917,127.52721480091387,108953300,2021-06-18
